,ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value,Flag Codes,Flags
791976,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y85,85 anni,99,totale,2019,2019,206790,,
781655,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y84,84 anni,99,totale,2019,2019,224338,,
772788,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y83,83 anni,99,totale,2019,2019,240485,,
760630,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y82,82 anni,99,totale,2019,2019,244166,,
750178,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y81,81 anni,99,totale,2019,2019,265955,,
745812,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y80,80 anni,99,totale,2019,2019,293682,,
38164,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y8,8 anni,99,totale,2019,2019,268440,,
729274,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y79,79 anni,99,totale,2019,2019,307068,,
720001,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y78,78 anni,99,totale,2019,2019,317534,,
708370,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y77,77 anni,99,totale,2019,2019,291653,,
697918,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y76,76 anni,99,totale,2019,2019,292150,,
687451,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y75,75 anni,99,totale,2019,2019,296099,,
683282,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y74,74 anni,99,totale,2019,2019,294077,,
666562,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y73,73 anni,99,totale,2019,2019,286936,,
661414,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y72,72 anni,99,totale,2019,2019,373031,,
654836,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y71,71 anni,99,totale,2019,2019,373966,,
636660,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y70,70 anni,99,totale,2019,2019,384579,,
35198,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y7,7 anni,99,totale,2019,2019,261137,,
624744,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y69,69 anni,99,totale,2019,2019,369230,,
614302,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y68,68 anni,99,totale,2019,2019,368268,,
607222,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y67,67 anni,99,totale,2019,2019,356386,,
599787,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y66,66 anni,99,totale,2019,2019,358334,,
582946,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y65,65 anni,99,totale,2019,2019,363608,,
572484,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y64,64 anni,99,totale,2019,2019,383041,,
562042,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y63,63 anni,99,totale,2019,2019,388661,,
551585,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y62,62 anni,99,totale,2019,2019,396279,,
543854,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y61,61 anni,99,totale,2019,2019,404686,,
530686,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y60,60 anni,99,totale,2019,2019,409121,,
27090,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y6,6 anni,99,totale,2019,2019,257211,,
520219,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y59,59 anni,99,totale,2019,2019,426948,,
509782,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y58,58 anni,99,totale,2019,2019,437639,,
505030,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y57,57 anni,99,totale,2019,2019,451673,,
492117,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y56,56 anni,99,totale,2019,2019,460125,,
478421,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y55,55 anni,99,totale,2019,2019,475227,,
467974,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y54,54 anni,99,totale,2019,2019,503941,,
457517,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y53,53 anni,99,totale,2019,2019,496845,,
457325,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y52,52 anni,99,totale,2019,2019,497603,,
436618,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y51,51 anni,99,totale,2019,2019,494767,,
431475,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y50,50 anni,99,totale,2019,2019,491414,,
23485,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y5,5 anni,99,totale,2019,2019,246502,,
415837,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y49,49 anni,99,totale,2019,2019,494321,,
403650,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y48,48 anni,99,totale,2019,2019,480428,,
393162,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y47,47 anni,99,totale,2019,2019,484958,,
414066,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y46,46 anni,99,totale,2019,2019,478371,,
374587,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y45,45 anni,99,totale,2019,2019,474216,,
363454,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y44,44 anni,99,totale,2019,2019,476041,,
353002,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y43,43 anni,99,totale,2019,2019,457197,,
344661,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y42,42 anni,99,totale,2019,2019,436238,,
332093,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y41,41 anni,99,totale,2019,2019,417606,,
323506,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y40,40 anni,99,totale,2019,2019,403489,,
19129,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y4,4 anni,99,totale,2019,2019,241983,,
311194,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y39,39 anni,99,totale,2019,2019,383503,,
304632,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y38,38 anni,99,totale,2019,2019,370021,,
292852,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y37,37 anni,99,totale,2019,2019,362537,,
279838,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y36,36 anni,99,totale,2019,2019,359005,,
269386,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y35,35 anni,99,totale,2019,2019,346311,,
262350,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y34,34 anni,99,totale,2019,2019,340206,,
248482,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y33,33 anni,99,totale,2019,2019,333935,,
245341,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y32,32 anni,99,totale,2019,2019,322805,,
237439,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y31,31 anni,99,totale,2019,2019,320439,,
227299,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y30,30 anni,99,totale,2019,2019,325542,,
15009,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y3,3 anni,99,totale,2019,2019,234791,,
207231,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y29,29 anni,99,totale,2019,2019,317952,,
196222,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y28,28 anni,99,totale,2019,2019,315976,,
185759,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y27,27 anni,99,totale,2019,2019,309439,,
184257,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y26,26 anni,99,totale,2019,2019,309013,,
164866,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y25,25 anni,99,totale,2019,2019,295813,,
154414,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y24,24 anni,99,totale,2019,2019,287929,,
145481,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y23,23 anni,99,totale,2019,2019,282222,,
133510,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y22,22 anni,99,totale,2019,2019,281529,,
123058,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y21,21 anni,99,totale,2019,2019,279760,,
112601,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y20,20 anni,99,totale,2019,2019,278559,,
12298,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y2,2 anni,99,totale,2019,2019,229142,,
102154,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y19,19 anni,99,totale,2019,2019,277981,,
99279,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y18,18 anni,99,totale,2019,2019,280805,,
81250,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y17,17 anni,99,totale,2019,2019,275663,,
70798,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y16,16 anni,99,totale,2019,2019,273141,,
66346,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y15,15 anni,99,totale,2019,2019,274845,,
62886,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y14,14 anni,99,totale,2019,2019,277332,,
59113,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y13,13 anni,99,totale,2019,2019,273470,,
54411,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y12,12 anni,99,totale,2019,2019,275337,,
49318,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y11,11 anni,99,totale,2019,2019,275360,,
46948,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y10,10 anni,99,totale,2019,2019,276854,,
7390,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y1,1 anni,99,totale,2019,2019,221360,,
16,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,Y0,0 anni,99,totale,2019,2019,209322,,
959218,IT,Italia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2019,2019,30685478,,
950584,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y_GE100,100 anni e più,99,totale,2019,2019,2175,,
939827,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y99,99 anni,99,totale,2019,2019,1616,,
927836,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y98,98 anni,99,totale,2019,2019,3829,,
917384,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y97,97 anni,99,totale,2019,2019,5941,,
906932,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y96,96 anni,99,totale,2019,2019,8761,,
896480,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y95,95 anni,99,totale,2019,2019,13009,,
886023,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y94,94 anni,99,totale,2019,2019,17734,,
875576,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y93,93 anni,99,totale,2019,2019,24059,,
870543,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y92,92 anni,99,totale,2019,2019,32334,,
854667,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y91,91 anni,99,totale,2019,2019,42805,,
844287,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y90,90 anni,99,totale,2019,2019,53941,,
44056,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y9,9 anni,99,totale,2019,2019,289719,,
835929,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y89,89 anni,99,totale,2019,2019,67202,,
823316,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y88,88 anni,99,totale,2019,2019,86747,,
812864,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y87,87 anni,99,totale,2019,2019,97788,,
802412,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y86,86 anni,99,totale,2019,2019,110640,,
791955,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y85,85 anni,99,totale,2019,2019,128393,,
781629,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y84,84 anni,99,totale,2019,2019,145398,,
773742,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y83,83 anni,99,totale,2019,2019,163189,,
760604,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y82,82 anni,99,totale,2019,2019,170547,,
750152,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y81,81 anni,99,totale,2019,2019,194208,,
745786,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y80,80 anni,99,totale,2019,2019,220747,,
35452,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y8,8 anni,99,totale,2019,2019,285251,,
729248,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y79,79 anni,99,totale,2019,2019,238254,,
719975,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y78,78 anni,99,totale,2019,2019,250102,,
708344,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y77,77 anni,99,totale,2019,2019,234110,,
697892,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y76,76 anni,99,totale,2019,2019,239355,,
687435,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y75,75 anni,99,totale,2019,2019,246473,,
683266,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y74,74 anni,99,totale,2019,2019,250729,,
666536,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y73,73 anni,99,totale,2019,2019,248503,,
661388,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y72,72 anni,99,totale,2019,2019,327411,,
654810,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y71,71 anni,99,totale,2019,2019,332677,,
636634,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y70,70 anni,99,totale,2019,2019,343511,,
