,ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value,Flag Codes,Flags
196176,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y28,28 anni,1,nubile/celibe,2019,2019,295804,,
196181,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y28,28 anni,2,coniugata/o,2019,2019,35412,,
196186,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y28,28 anni,3,divorziata/o,2019,2019,364,,
196191,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y28,28 anni,4,vedova/o,2019,2019,35,,
196196,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y28,28 anni,99,totale,2019,2019,331737,,
207185,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y29,29 anni,1,nubile/celibe,2019,2019,279225,,
207190,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y29,29 anni,2,coniugata/o,2019,2019,48606,,
207195,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y29,29 anni,3,divorziata/o,2019,2019,564,,
207200,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y29,29 anni,4,vedova/o,2019,2019,68,,
207205,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y29,29 anni,99,totale,2019,2019,328580,,
991000,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y29,29 anni,17,già in unione civile (per scioglimento unione),2019,2019,2,,
14528,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y3,3 anni,1,nubile/celibe,2019,2019,248155,,
15679,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y3,3 anni,99,totale,2019,2019,248155,,
226523,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y30,30 anni,4,vedova/o,2019,2019,66,,
226732,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y30,30 anni,99,totale,2019,2019,336140,,
227015,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y30,30 anni,1,nubile/celibe,2019,2019,270451,,
227289,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y30,30 anni,3,divorziata/o,2019,2019,787,,
227405,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y30,30 anni,2,coniugata/o,2019,2019,64677,,
237184,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y31,31 anni,1,nubile/celibe,2019,2019,247613,,
237189,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y31,31 anni,3,divorziata/o,2019,2019,1039,,
237194,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y31,31 anni,4,vedova/o,2019,2019,79,,
